Timestamp,Coder initials:,Article ID:,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?
3/14/17 11:10,MK,BUSJl,2/13/15,No - there is no data availability statement,,,,,,,,,,,
3/17/17 5:36,GB,XOWLN,2/13/15,No - there is no data availability statement,,,,,,,,,,,
3/14/17 17:46,GB,pUVYn,2/14/15,No - there is no data availability statement,,,,,,,,,,,
3/25/17 3:58,GB,rdVgX,2/15/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/10/17 6:18,GB,rerjb,2/16/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/24/17 9:50,MK,ZdSxU,2/16/15,No - there is no data availability statement,,,,,,,,,,,
3/15/17 10:00,MK,CPOQU,2/23/15,No - there is no data availability statement,,,,,,,,,,,
3/9/17 16:55,EY,HFCil,2/26/15,No - there is no data availability statement,,,,,,,,,,,
3/17/17 3:15,GB,YNaAH,2/26/15,No - there is no data availability statement,,,,,,,,,,,
3/16/17 9:13,MK,szkdy,2/27/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/16/17 14:08,MK,jUAIn,3/1/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"No, only some of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/18/17 19:19,EC,aVpKb,3/2/15,No - there is no data availability statement,,,,,,,,,,,
